id,first_name,last_name,full_name,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
1,Paul,Casey,Paul Casey,73,81,93,97,63,80,87
2,Danielle,Sandoval,Danielle Sandoval,90,86,96,100,90,88,90
3,Tina,Andrews,Tina Andrews,81,97,95,96,65,77,94
4,Tara,Clark,Tara Clark,71,74,88,80,89,63,86
5,Anthony,Campos,Anthony Campos,84,77,65,65,80,74,76
6,Kelly,Wade,Kelly Wade,93,100,67,78,72,80,84
7,Anthony,Smith,Anthony Smith,99,96,97,73,88,76,64
8,George,Short,George Short,95,95,82,63,84,70,85
9,Stanley,Gutierrez,Stanley Gutierrez,94,68,94,85,81,74,72
10,Audrey,Simpson,Audrey Simpson,98,69,88,71,67,71,73
11,Gabrielle,White,Gabrielle White,65,60,97,94,71,81,66
12,Clinton,Randolph,Clinton Randolph,80,61,100,65,87,64,61
13,Patricia,Gomez,Patricia Gomez,94,59,69,67,89,65,73
14,Pamela,Jackson,Pamela Jackson,66,94,86,100,57,90,63
15,Laura,Jackson,Laura Jackson,96,90,86,92,92,95,87
16,Roger,Wiley,Roger Wiley,94,50,78,64,79,74,84
17,Vicki,Thompson,Vicki Thompson,92,64,93,91,80,89,72
18,Maxwell,Davidson,Maxwell Davidson,86,83,85,79,93,76,77
19,Jonathan,Werner,Jonathan Werner,92,87,92,99,97,87,86
20,Angela,Rios,Angela Rios,99,65,98,75,66,72,100
21,Tim,Nichols,Tim Nichols,100,90,72,98,73,97,72
22,Kyle,Willis,Kyle Willis,57,55,78,94,83,88,88
23,Shannon,Simpson,Shannon Simpson,89,72,68,72,71,54,90
24,Sean,Griffin,Sean Griffin,50,76,81,55,56,80,79
25,Cassandra,West,Cassandra West,87,91,90,88,95,88,93
26,Patricia,Chavez,Patricia Chavez,92,86,87,81,93,90,99
27,Jason,Williams,Jason Williams,100,77,80,94,63,90,90
28,Peter,Gibbs,Peter Gibbs,64,75,93,79,81,96,85
29,Jeffrey,Blanchard,Jeffrey Blanchard,79,65,99,71,76,77,83
30,Carol,Hill,Carol Hill,82,100,61,97,30,74,73
31,Angie,Miller,Angie Miller,88,69,87,100,88,85,72
32,Cynthia,Knapp,Cynthia Knapp,70,68,92,74,82,85,72
33,Timothy,Bryant,Timothy Bryant,77,96,98,89,85,62,62
34,Phyllis,Diaz,Phyllis Diaz,99,84,84,78,78,77,68
35,Lisa,Burns,Lisa Burns,90,93,91,80,86,69,62
36,Kelly,Farley,Kelly Farley,65,70,78,98,80,66,65
37,Ryan,Lee,Ryan Lee,99,94,87,71,89,91,96
38,Michael,Gilmore,Michael Gilmore,92,100,85,89,81,91,88
39,Miguel,Martinez,Miguel Martinez,77,64,64,88,94,82,78
40,Christopher,Taylor,Christopher Taylor,92,60,66,87,60,83,95
41,Emily,Holloway,Emily Holloway,85,97,64,90,79,81,81
42,Jesus,Rasmussen,Jesus Rasmussen,65,55,66,50,88,56,86
43,Lauren,Farmer,Lauren Farmer,93,94,92,77,87,98,63
44,Pamela,Cole,Pamela Cole,97,99,85,96,91,68,66
45,David,Gillespie,David Gillespie,54,99,79,57,53,95,83
46,Kenneth,Davis,Kenneth Davis,88,53,50,58,84,53,96
47,Elizabeth,Martin,Elizabeth Martin,71,85,93,68,100,91,87
48,Billy,Soto,Billy Soto,81,98,74,70,97,65,65
49,Kimberly,Kelly,Kimberly Kelly,80,78,86,80,64,68,100
50,Sonia,Noble,Sonia Noble,100,89,90,93,30,83,74
51,Christopher,Stewart,Christopher Stewart,76,72,96,65,89,87,94
52,Sandra,Thornton,Sandra Thornton,99,81,73,70,85,86,61
53,Luke,Shannon,Luke Shannon,64,70,61,81,82,51,70
54,Lindsay,Pruitt,Lindsay Pruitt,90,96,86,61,89,98,68
55,Jamie,Taylor,Jamie Taylor,85,100,92,68,60,77,83
56,Jennifer,Murphy,Jennifer Murphy,91,60,84,88,76,71,99
57,Melissa,Lee,Melissa Lee,95,72,79,86,87,81,62
58,David,Vaughn,David Vaughn,94,78,73,97,67,78,99
59,Jacob,Hanson,Jacob Hanson,94,89,64,96,91,95,77
60,Casey,May,Casey May,89,99,90,79,85,96,98
61,Michelle,Roman,Michelle Roman,91,81,88,71,78,83,76
62,Brittany,Koch,Brittany Koch,83,86,61,99,99,88,73
63,Brian,Lewis,Brian Lewis,98,65,53,64,52,96,62
64,Veronica,Cameron,Veronica Cameron,83,97,65,88,67,95,69
65,Eric,Reyes,Eric Reyes,91,73,99,70,63,80,78
66,Kristy,Weber,Kristy Weber,90,54,77,74,76,96,88
67,Anthony,Smith,Anthony Smith,92,86,66,69,100,71,80
68,Steven,Stephens,Steven Stephens,64,64,73,76,72,97,91
69,Henry,Davis,Henry Davis,90,70,85,60,81,71,88
70,Raymond,Shea,Raymond Shea,99,81,96,69,91,87,83
71,Jill,Perez,Jill Perez,89,66,93,81,86,88,70
72,Kimberly,Bonilla,Kimberly Bonilla,62,87,93,83,93,97,73
73,Louis,Edwards,Louis Edwards,61,70,69,64,59,78,80
74,Michael,Hodge,Michael Hodge,51,54,66,87,99,58,68
75,Anna,Li,Anna Li,85,100,64,68,73,81,87
76,Andrea,Case,Andrea Case,99,90,96,92,100,98,77
77,Jennifer,Garcia,Jennifer Garcia,87,63,60,90,89,99,80
78,Rhonda,Davenport,Rhonda Davenport,75,91,80,93,74,93,65
79,Chelsea,Craig,Chelsea Craig,88,94,80,63,68,77,64
80,Shawn,Chase,Shawn Chase,87,79,89,68,93,75,92
81,Elizabeth,Calhoun,Elizabeth Calhoun,87,67,94,92,62,58,65
82,Lisa,Harris,Lisa Harris,76,67,83,85,91,61,67
83,Carol,Snyder,Carol Snyder,60,80,61,63,95,92,75
84,Charles,Butler,Charles Butler,85,65,99,100,88,93,72
85,James,Dawson,James Dawson,73,67,70,71,65,73,87
86,Dennis,Kim,Dennis Kim,85,71,69,80,70,77,66
87,Jennifer,Berry,Jennifer Berry,91,76,71,72,92,67,90
88,Yvette,Bridges,Yvette Bridges,99,95,83,89,81,63,70
89,Robert,Atkins,Robert Atkins,93,96,68,87,69,89,100
90,William,Brown,William Brown,89,75,60,80,62,85,73
91,Patrick,Parker,Patrick Parker,95,78,95,73,32,65,68
92,James,Santiago,James Santiago,68,82,95,63,62,98,93
93,Robert,Parsons,Robert Parsons,98,73,73,77,87,98,83
94,Jacob,Brown,Jacob Brown,79,92,79,76,84,67,86
95,Natalie,Robinson,Natalie Robinson,78,79,73,96,64,93,85
96,Victoria,Jones,Victoria Jones,100,98,89,85,81,64,94
97,Natasha,Hansen,Natasha Hansen,86,76,84,93,76,69,91
98,Thomas,White,Thomas White,87,89,93,98,79,72,88
99,Derrick,Figueroa,Derrick Figueroa,100,93,85,61,96,83,86
100,Kimberly,Ward,Kimberly Ward,85,89,94,69,99,93,98
101,Rhonda,Jones,Rhonda Jones,87,73,98,91,79,60,77
102,Abigail,Perez,Abigail Perez,96,80,100,61,81,98,65
103,James,Yang,James Yang,76,87,64,74,73,90,99
